ID;LONGITUDE;LATITUDE
751;-51141244;-30143354
752;-51136321;-30144044
753;-51138321;-30145497
754;-51138618;-30145690
755;-51139703;-30144505
756;-51140845;-30143864
757;-51140242;-30141941
758;-51141788;-30143112
759;-51142070;-30143304
760;-51140665;-30141727
761;-51166256;-30151919
762;-51166634;-30151418
763;-51163871;-30151981
764;-51163886;-30151463
765;-51162046;-30151995
766;-51167429;-30153775
767;-51168642;-30153802
768;-51168656;-30153267
769;-51173793;-30153569
770;-51174017;-30153025
771;-51172220;-30151469
772;-51174538;-30151433
773;-51172236;-30151997
774;-51174387;-30151963
775;-51172246;-30152524
776;-51174222;-30152495
777;-51171592;-30155419
778;-51170013;-30155441
779;-51181199;-30155542
780;-51180157;-30155417
781;-51181259;-30154903
782;-51169621;-30157348
783;-51169621;-30156821
784;-51168980;-30157348
785;-51170190;-30157349
786;-51181285;-30156770
787;-51181306;-30157334
788;-51182318;-30157291
789;-51164413;-30153596
790;-51164392;-30154302
791;-51166139;-30154289
792;-51163798;-30154301
793;-51167406;-30154304
794;-51171572;-30154292
795;-51171563;-30153568
796;-51168030;-30154318
797;-51132621;-30047602
798;-51132523;-30047718
799;-51112620;-29993933
800;-51107751;-29993347
801;-51132623;-30047603
802;-51100771;-29992868
803;-51100709;-29993016
804;-51100654;-29992834
805;-51105133;-30001700
806;-51127574;-30018701
807;-51127585;-30018956
808;-51125475;-30017317
809;-51137118;-30018230
810;-51137222;-30019177
811;-51139489;-30019010
812;-51139454;-30019256
813;-51142838;-30020253
814;-51141292;-30020101
815;-51126887;-30020007
816;-51127318;-30020266
817;-51121684;-30019456
818;-51121999;-30020294
819;-51129301;-30020383
820;-51138007;-30019790
821;-51136484;-30020407
822;-51140786;-30018811
823;-51123831;-30018970
824;-51121225;-30018449
825;-51121475;-30019502
826;-51120747;-30019662
827;-51141254;-30017833
828;-51140460;-30018125
829;-51156502;-30033101
830;-51157552;-30033306
831;-51177991;-30161753
832;-51181475;-30161683
833;-51179534;-30162512
834;-51176394;-30162080
835;-51177868;-30161748
836;-51176284;-30161105
837;-51156824;-30162655
838;-51182177;-30161728
839;-51174852;-30140754
840;-51171871;-30140424
841;-51161031;-30156541
842;-51161431;-30158165
843;-51172066;-30177059
844;-51153025;-30156234
845;-51154581;-30155310
846;-51147433;-30159436
847;-51150203;-30157770
848;-51150920;-30158687
849;-51142278;-30153905
850;-51139118;-30154171
851;-51138469;-30153764
852;-51141884;-30154088
853;-51141573;-30154157
854;-51139365;-30153896
855;-51141313;-30153724
856;-51152078;-30153695
857;-51138558;-30153109
858;-51136499;-30153248
859;-51135967;-30153175
860;-51150438;-30162994
861;-51151291;-30162419
862;-51147514;-30159504
863;-51141358;-30162928
864;-51140596;-30163028
865;-51175901;-30158616
866;-51175605;-30161106
867;-51139286;-30162595
868;-51144950;-30148908
869;-51144399;-30147535
870;-51156426;-30147577
871;-51154991;-30148872
872;-51149156;-30148780
873;-51103250;-30108716
874;-51103837;-30108299
875;-51109530;-30203336
876;-51108325;-30202574
877;-51107180;-30044718
878;-51107199;-30045026
879;-51105607;-30033550
880;-51105444;-30032808
881;-51112151;-30032319
882;-51111814;-30032340
883;-51110025;-30027521
884;-51109695;-30027552
885;-51113861;-30020689
886;-51113912;-30021351
887;-51102392;-30026542
888;-51102377;-30025963
889;-51201555;-30145094
890;-51199134;-30144897
891;-51146375;-30152134
892;-51146124;-30151786
893;-51177592;-30161098
894;-51177593;-30159197
895;-51205965;-30045538
896;-51205215;-30045113
897;-51232678;-30087498
898;-51232448;-30087592
899;-51231271;-30133435
900;-51231332;-30133735
901;-51122455;-29993885
902;-51121812;-29994006
903;-51098880;-30115103
904;-51099707;-30116832
905;-51174784;-30038542
906;-51174461;-30038547
907;-51199339;-29979342
908;-51199421;-29978984
909;-51199558;-29979292
910;-51199598;-29979253
911;-51196775;-29979237
912;-51199533;-29979046
913;-51195805;-29990509
914;-51195789;-29990466
915;-51197050;-29987727
916;-51196671;-29987876
917;-51196378;-29987968
918;-51196209;-29988022
919;-51195937;-29988108
920;-51196440;-29988397
921;-51196536;-29988658
922;-51139013;-30002861
923;-51141467;-30005533
924;-51139700;-30004471
925;-51139792;-29998703
926;-51139821;-29997833
927;-51139664;-30001008
928;-51139689;-30000581
929;-51137925;-30005067
930;-51138617;-30003690
931;-51139023;-30002932
932;-51137608;-30002508
933;-51134501;-29981438
934;-51133721;-29981393
935;-51132189;-29981312
936;-51131448;-29981269
937;-51130701;-29981224
938;-51129912;-29981183
939;-51186002;-30207060
940;-51184120;-30207130
941;-51173254;-30207519
942;-51172079;-30204692
943;-51172179;-30203563
944;-51205783;-29995544
945;-51204831;-29992540
946;-51196848;-29979993
947;-51197259;-29979894
948;-51199399;-29979844
949;-51198959;-29979951
950;-51194586;-29988343
951;-51195063;-29988159
952;-51194257;-29987372
953;-51194101;-29986873
954;-51196945;-29987388
955;-51196821;-29986991
956;-51197993;-29986776
957;-51196837;-29984812
958;-51195045;-29986722
959;-51195255;-29987357
960;-51195532;-29987266
961;-51199056;-29986754
962;-51202364;-29986595
963;-51193975;-29981994
964;-51198924;-29986378
965;-51195838;-29986962
966;-51196458;-29986825
967;-51168410;-29989098
968;-51169047;-29987037
969;-51154981;-29987173
970;-51172964;-29987927
971;-51175043;-29988279
972;-51175042;-29988279
973;-51178294;-29988303
974;-51178846;-29988422
975;-51164082;-30002109
976;-51164506;-29999716
977;-51160156;-29987336
978;-51164410;-29988179
979;-51179098;-29988428
980;-51136418;-29987073
981;-51136417;-29986845
982;-51155578;-29973859
983;-51153458;-29973745
984;-51154874;-29989580
985;-51146161;-29989823
986;-51136923;-29980492
987;-51136923;-29980396
988;-51152879;-29987089
989;-51149051;-29987253
990;-51252534;-30029549
991;-51254681;-30023575
992;-51252255;-30032107
993;-51250933;-30031891
994;-51255036;-30022668
995;-51256082;-30019987
996;-51257798;-30020346
997;-51258361;-30020511
998;-51258250;-30017209
999;-51258894;-30017461
1000;-51257472;-30016896
1001;-51262957;-30015130
1002;-51263314;-30016429
1003;-51260847;-30015645
1004;-51260216;-30016590
1005;-51258675;-30016160
1006;-51259193;-30016330
1007;-51260197;-30015310
1008;-51259990;-30015794
1009;-51257981;-30015950
