ID;Longitude;Latitude;ORDEM;DATA_IMPLA;PREDIAL;CDL1;CDL2;LOG1;LOG2;LOCAL;LOCAL_SIG;TIPO;OBSERVACAO;CODIGO
1753;-51.141239;-29.997855;72;;6767;8081192;;AV SERTORIO;;6767 AV SERTORIO;6767 AV SERTORIO;PEDESTRE;PED CB EM FTE ATACADAO;SER-PD02
1754;-51.141247;-29.997770;73;;6600;8081192;;AV SERTORIO;;6600 AV SERTORIO;6600 AV SERTORIO;PEDESTRE;PED BC FTE BIG;SER-PD01
1755;-51.147918;-29.997993;74;;5705;8081192;;AV SERTORIO;;5705 AV SERTORIO;5705 AV SERTORIO;PEDESTRE;PED CB ESQ LAZAR SEGAL;SER-PD04
1756;-51.136982;-29.998067;75;;6960;8081192;;AV SERTORIO;;6960 AV SERTORIO;AV SERTORIO;PEDESTRE;PED BC ESQ GAUCHOS;SER-GAU
1757;-51.135503;-29.998725;76;;7101;8081192;;AV SERTORIO;;7101 AV SERTORIO;7103 AV SERTORIO;PEDESTRE;PED CB ESQ  MAGALHAES CALVET;SER-PD07
1758;-51.146294;-29.997909;77;;5886;8081192;;AV SERTORIO;;5886 AV SERTORIO;5886 AV SERTORIO;PEDESTRE;PED BC ESQ ASSIS CHATEAUBRIANT;SER-PD08
1759;-51.178958;-30.003202;78;;2580;8081192;;AV SERTORIO;;2580 AV SERTORIO;2580 AV SERTORIO;PEDESTRE;PED BC ESQ EMILIO LUCIO ESTEVES;SER-PD11
1760;-51.197355;-30.000370;79;;833;8081192;;AV SERTORIO;;833 AV SERTORIO;833 AV SERTORIO;PEDESTRE;PED CB ESQ PERNAMBUCO;SER-PER
1761;-51.230945;-30.028546;80;;1081;7777162;;R SIQUEIRA CAMPOS;;1081 R SIQUEIRA CAMPOS;1081 R SIQUEIRA CAMPOS;PEDESTRE;ESQ CASSIANO DO NASCIMENTO;SIQ-PD02
1762;-51.225953;-30.030946;81;;185;7877053;;AV SEN SALGADO FILHO;;185 AV SEN SALGADO FILHO;185 AV SEN SALGADO FILHO;PEDESTRE;ESQ VIGARIO JOSE INACIO CB;SFI-MAL
